"Concept"	"Feature"
"175"	"axe"	"a_tool"
"176"	"axe"	"a_weapon"
"177"	"axe"	"has_a_blade"
"178"	"axe"	"has_a_handle"
"179"	"axe"	"has_a_head"
"180"	"axe"	"has_a_metal_blade"
"181"	"axe"	"has_a_wooden_handle"
"182"	"axe"	"is_dangerous"
"183"	"axe"	"is_heavy"
"184"	"axe"	"is_sharp"
"185"	"axe"	"used_by_lumberjacks"
"186"	"axe"	"used_for_chopping"
"187"	"axe"	"used_for_chopping_wood"
"188"	"axe"	"used_for_cutting"
"189"	"axe"	"used_for_killing"
"190"	"axe"	"used_in_movies/Jason"
"279"	"barn"	"a_building"
"280"	"barn"	"found_in_the_country"
"281"	"barn"	"found_on_farms"
"282"	"barn"	"has_a_hay_loft"
"283"	"barn"	"has_doors"
"284"	"barn"	"has_stalls"
"285"	"barn"	"is_dirty"
"286"	"barn"	"is_large"
"287"	"barn"	"is_red"
"288"	"barn"	"is_smelly"
"289"	"barn"	"made_of_wood"
"290"	"barn"	"used_for_animals"
"291"	"barn"	"used_for_cows"
"292"	"barn"	"used_for_storage"
"293"	"barn"	"used_for_storing_farm_equipment"
"294"	"barn"	"used_for_storing_hay"
"295"	"barn"	"used_for_storing_tractors"
"389"	"bazooka"	"a_gun"
"390"	"bazooka"	"a_weapon"
"391"	"bazooka"	"inbeh_-_fires"
"392"	"bazooka"	"is_dangerous"
"393"	"bazooka"	"is_destructive"
"394"	"bazooka"	"is_large"
"395"	"bazooka"	"is_loud"
"396"	"bazooka"	"made_of_metal"
"397"	"bazooka"	"used_by_the_army"
"398"	"bazooka"	"used_for_killing"
"399"	"bazooka"	"used_for_war"
"400"	"beans"	"a_vegetable"
"401"	"beans"	"causes_gas"
"402"	"beans"	"eaten_by_baking"
"403"	"beans"	"eaten_by_cooking"
"404"	"beans"	"eg_-_kidney"
"405"	"beans"	"eg_-_lima"
"406"	"beans"	"grows_in_gardens"
"407"	"beans"	"has_pods"
"408"	"beans"	"has_protein"
"409"	"beans"	"is_brown"
"410"	"beans"	"is_edible"
"411"	"beans"	"is_green"
"412"	"beans"	"is_nutritious"
"413"	"beans"	"is_small"
"414"	"beans"	"is_yellow"
"497"	"beets"	"a_root"
"498"	"beets"	"a_vegetable"
"499"	"beets"	"beh_-_stains"
"500"	"beets"	"eaten_as_pickles"
"501"	"beets"	"eaten_in_borscht"
"502"	"beets"	"eaten_in_salads"
"503"	"beets"	"grows_in_gardens"
"504"	"beets"	"grows_in_the_ground"
"505"	"beets"	"grows_underground"
"506"	"beets"	"has_leaves"
"507"	"beets"	"is_edible"
"508"	"beets"	"is_juicy"
"509"	"beets"	"is_purple"
"510"	"beets"	"is_red"
"511"	"beets"	"is_round"
"512"	"belt"	"a_fashion_accessory"
"513"	"belt"	"clothing"
"514"	"belt"	"has_buckles"
"515"	"belt"	"has_holes"
"516"	"belt"	"is_decorative"
"517"	"belt"	"is_long"
"518"	"belt"	"is_thin"
"519"	"belt"	"made_of_leather"
"520"	"belt"	"made_of_material"
"521"	"belt"	"used_for_punishment"
"522"	"belt"	"worn_around_waist"
"523"	"belt"	"worn_for_holding_up_pants"
"524"	"belt"	"worn_through_pant_loops"
"711"	"bomb"	"a_weapon"
"712"	"bomb"	"dropped_from_airplanes"
"713"	"bomb"	"has_a_timer"
"714"	"bomb"	"inbeh_-_explodes"
"715"	"bomb"	"is_dangerous"
"716"	"bomb"	"is_destructive"
"717"	"bomb"	"is_frightening"
"718"	"bomb"	"is_lethal"
"719"	"bomb"	"is_loud"
"720"	"bomb"	"is_nuclear"
"721"	"bomb"	"used_at_Hiroshima"
"722"	"bomb"	"used_by_dropping"
"723"	"bomb"	"used_for_killing"
"724"	"bomb"	"used_for_terrorism"
"725"	"bomb"	"used_for_war"
"775"	"bottle"	"a_container"
"776"	"bottle"	"has_a_cork"
"777"	"bottle"	"has_a_lid"
"778"	"bottle"	"has_a_neck"
"779"	"bottle"	"is_breakable"
"780"	"bottle"	"is_green"
"781"	"bottle"	"is_recyclable"
"782"	"bottle"	"is_transparent"
"783"	"bottle"	"made_of_glass"
"784"	"bottle"	"made_of_plastic"
"785"	"bottle"	"used_for_drinking"
"786"	"bottle"	"used_for_holding_beer"
"787"	"bottle"	"used_for_holding_liquids"
"788"	"bottle"	"used_for_holding_things"
"789"	"bottle"	"used_for_holding_wine"
"847"	"bra"	"an_undergarment"
"848"	"bra"	"clothing"
"849"	"bra"	"different_colours"
"850"	"bra"	"different_sizes"
"851"	"bra"	"has_clasps"
"852"	"bra"	"has_cups"
"853"	"bra"	"has_hooks"
"854"	"bra"	"has_no_straps"
"855"	"bra"	"has_straps"
"856"	"bra"	"has_wires"
"857"	"bra"	"is_black"
"858"	"bra"	"is_lacy"
"859"	"bra"	"is_sexy"
"860"	"bra"	"is_uncomfortable"
"861"	"bra"	"is_white"
"862"	"bra"	"made_of_cotton"
"863"	"bra"	"made_of_material"
"864"	"bra"	"worn_by_women"
"865"	"bra"	"worn_for_support"
"866"	"bra"	"worn_for_supporting_breasts"
"972"	"budgie"	"a_bird"
"973"	"budgie"	"a_pet"
"974"	"budgie"	"beh_-_chirps"
"975"	"budgie"	"beh_-_eats"
"976"	"budgie"	"beh_-_eats_seeds"
"977"	"budgie"	"beh_-_flies"
"978"	"budgie"	"beh_-_sings"
"979"	"budgie"	"beh_-_talks"
"980"	"budgie"	"different_colours"
"981"	"budgie"	"has_a_beak"
"982"	"budgie"	"has_feathers"
"983"	"budgie"	"is_blue"
"984"	"budgie"	"is_colourful"
"985"	"budgie"	"is_green"
"986"	"budgie"	"is_loud"
"987"	"budgie"	"is_small"
"988"	"budgie"	"lives_in_cages"
"1078"	"bus"	"a_vehicle"
"1079"	"bus"	"has_an_engine"
"1080"	"bus"	"has_doors"
"1081"	"bus"	"has_many_seats"
"1082"	"bus"	"has_seats"
"1083"	"bus"	"has_wheels"
"1084"	"bus"	"has_windows"
"1085"	"bus"	"is_crowded"
"1086"	"bus"	"is_large"
"1087"	"bus"	"is_loud"
"1088"	"bus"	"is_yellow"
"1089"	"bus"	"requires_a_fare"
"1090"	"bus"	"requires_drivers"
"1091"	"bus"	"used_by_schools"
"1092"	"bus"	"used_for_passengers"
"1093"	"bus"	"used_for_public_transportation"
"1094"	"bus"	"used_for_transportation"
"1219"	"camisole"	"a_lingerie"
"1220"	"camisole"	"an_undergarment"
